S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,CONTINENT OF STUDY,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
47,I,Komollo+Elvis,Journal,The spatial dimension of COVID-19: The potential of earth observation data in support of slum communities with evidence from Brazil,"(Brito et al., 2020)",Slums,2020,African,African,Chapter 1,The urban morphology and living conditions in poor communities make the inhabitants more vulnerable to COVID 19 compared to a formal city·         Urban morphology of slums,"Urban morphorlogy.

Poor communities.

COVID 19",Negative,No,-,No,Descriptive,,Poverty,,,,
48,I,Komollo+Elvis,Journal,Grey water characterisation and pollutant loads in an urban slum,"(Katukiza et al., 2012)",Slums,2012,African,African,Introduction,"The increased environmental pollution and prevalence of diseases in slums is caused by poor sanitation. Rapid urbanization, lack of legal status, poor accessibility hinders the improvement of the level of sanitation in urban slums.·         Level of sanitation","Environmental pollution

poor sanitation

Sustainable technology of waste management",Negative,No,-,No,Descriptive,,Environmental Pollution,,,,
49,I,Komollo+Elvis,Journal,Determinants of childhood mortality and morbidity in urban slums in India,"(Awasthi & Agarwal, 2003)",Slums,2003,Asian,Asian,Introduction,"Increase in urban population leads to growth of slums which in turn leads to the deterioration in public health and overstraining of infrastructure.·         Malnutrition, infectious diseases and impaired cognitive development in children who live in slums","Malnutrition.

Infectious diseases.

Impaired cognitive development.",Negative,No,-,No,Descriptive,Malnutrition,,,,,
50,I,Komollo+Elvis,Journal,Improving the health and welfare of people who live in slums,"(Lilford et al., 2017)",Slums,2017,North American,North American,Chapter 1,"Paper discusses slums as a phenomenon defined in space, where a shared physical and social environment results in neighborhood effects on health and wellbeing. As a result, slums offer high returns on investment because beneficial effects are also shared across many people in densely packed neighborhoods as John Snow showed in 1854 where he disabled the Broad Street water pump in the Soho slum of London.·         Slums as shared physical and social environment results in neighborhood effects on health and wellbeing","Space

Social environment.

Health and wellbeing.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
51,I,Komollo+Elvis,Journal,An ontology of slums for image-based classification,"(Kohli et al., 2012)",Slums,2012,Asian,Asian,Introduction,"According to the projection by a recent report of UN-HABITAT, urban areas will be the epicenter of almost all of the worlds population growth in the next 30 years. In addition to this growth, planners and governments in developing countries face the challenge of high growth rates of poverty. Whereas poverty was once seen as being a largely rural problem, today we speak of the urbanization of poverty.·         Slums as places of urban poverty manifestation","UN-HABITAT

Urbanization of poverty.

Rural pronlem.",Negative,No,-,Yes,Descriptive,,Urban Poverty,,,,
52,I,Komollo+Elvis,Journal,Nutritional status of school-age children-A scenario of urban slums in India,"(Srivastava et al., 2012)",Slums,2012,Asian,Asian,Introduction,"Most school age slum children show poor nutritional status. This causes high absenteeism, low school enrolment, unsatisfactory classroom performance and early dropout·         Poor nutritional status",poor nutritional status.,Negative,No,-,No,Descriptive,Malnutrition,,,,,
53,I,Komollo+Elvis,Journal,. Determinants of under nutrition among school age children in A nairobi peri-urban slum.,"(Chesere et al., 2008)",Slums,2008,African,African,Chapter 1,"School going children in slum areas face high rates of malnutrition. This influences their growth and development, health and school academic performance.·         malnutrition",Malnutrition.,Negative,No,-,No,Descriptive,Malnutrition,,,,,
54,I,Komollo+Elvis,Journal,Building the City: From Slums to a Modern Metropolis,"(Henderson et al., 2020)",Slums,2020,European,European,Introduction,"The authors model the building of a city, estimate parameters of the model, and calculate welfare losses from institutional frictions encountered in changing land-use. They distinguish formal and slum construction technologies; in contrast to slums, formal structures can be built tall, are durable, and non-malleable.·         In contrast to slums, formal structures can be built tall, are durable, and non-malleable.","Welfare losses.

Changing land-use.

Formal & slum construction technologies.",Negative,No,-,No,Descriptive,Welfare losses,,,,,
55,I,Komollo+Elvis,Journal,"Cooperation, trust, and social capital in Southeast Asian urban slums","(Carpenter et al., 2004)",Slums,2004,North American,North American,Chapter 1,"The authors conducted experiments in urban slums to measure trust and cooperation and to see how behavior varies with demographic factors and associational measures of social capital. Overall, they found high contribution rates among Thai and Vietnamese participants in a voluntary contribution game, and we see that many participants are willing to signal their disapproval of free riding despite it being costly to do so. At the individual level, they found that behavior varies with many demographic factors and with many associational factors.·         Behavior varies with many demographic factors and with many associational factors.","urban slums

behaviour

role of culture",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
56,I,Komollo+Elvis,Journal,Calculating without numbers: aesthetic governmentality in Delhi's slums,"(Ghertner, 2010)",Slums,2010,European,European,Introduction,"This paper looks at the manner in which knowledge of slums in Delhi has been collected, assembled and circulated in two different moments of urban improvement to explore the relationship between calculation and governmentality. Based on an extended study of slum enumeration and the politics of slum demolitions in Delhi, I show that each of these two moments relied on an epistemologically different set of calculative practices one statistical, the other aesthetic to render the slum intelligible and secure rule.·         Urban government in Delhi today is marked by a conspicuous absence of accurate and up to date statistics and maps.","urban improvement

slum enumeration

rational planning",Negative,No,-,No,Descriptive,,,Slum Enumeration,,,
57,I,Komollo+Elvis,Journal,Redefining slums in Egypt: Unplanned versus unsafe areas,"(Khalifa, 2011)",Slums,2011,Asian,Asian,Chapter 1,"This paper addresses the crucial need to revisit the criteria for defining 'slums' in order to present(Nuissl & Heinrichs, 2013)  a more precise image of existing slums and categorize them according to the severity of risk they pose to human life and to property, as a means of prioritizing interventions. ·         Slums as places that poses severity of risk they pose to human life and to property, as a means of prioritizing interventions.","prioritizing inventions

unplanned areas

unsafe areas",Negative,No,-,No,Descriptive,Unsafe Areas,,,,,
